time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,nearest_fire,nearest_smoke
0,08:00,0,Isabella Rodriguez,low,0.15,5.2,inf
0,08:00,1,Klaus Mueller,low,0.15,6.6,inf
1,08:00,0,Isabella Rodriguez,low,0.2,5.2,inf
1,08:00,1,Klaus Mueller,low,0.15,6.6,inf
2,08:01,0,Isabella Rodriguez,low,0.2,5.2,inf
2,08:01,1,Klaus Mueller,low,0.15,6.6,inf
3,08:02,0,Isabella Rodriguez,low,0.2,5.2,inf
3,08:02,1,Klaus Mueller,low,0.15,6.6,inf
4,08:02,0,Isabella Rodriguez,low,0.2,5.3,inf
4,08:02,1,Klaus Mueller,low,0.15,6.6,inf
5,08:03,0,Isabella Rodriguez,low,0.2,5.4,inf
5,08:03,1,Klaus Mueller,low,0.15,6.6,inf
6,08:04,0,Isabella Rodriguez,low,0.2,5.6,inf
6,08:04,1,Klaus Mueller,low,0.15,6.6,inf
7,08:04,0,Isabella Rodriguez,low,0.2,5.7,inf
7,08:04,1,Klaus Mueller,low,0.15,6.6,inf
8,08:05,0,Isabella Rodriguez,low,0.2,5.9,8.0
8,08:05,1,Klaus Mueller,low,0.15,6.6,9.0
9,08:06,0,Isabella Rodriguez,low,0.2,6.0,8.2
9,08:06,1,Klaus Mueller,low,0.15,6.6,9.0
